分拣中心,日期,货量
SC1,2024/12/1,49667
SC1,2024/12/2,38908
SC1,2024/12/3,36679
SC1,2024/12/4,40016
SC1,2024/12/5,40967
SC1,2024/12/6,42472
SC1,2024/12/7,43437
SC1,2024/12/8,42718
SC1,2024/12/9,41147
SC1,2024/12/10,40632
SC1,2024/12/11,49667
SC1,2024/12/12,38908
SC1,2024/12/13,36679
SC1,2024/12/14,40016
SC1,2024/12/15,40967
SC1,2024/12/16,42472
SC1,2024/12/17,43437
SC1,2024/12/18,42718
SC1,2024/12/19,41147
SC1,2024/12/20,40632
SC1,2024/12/21,49667
SC1,2024/12/22,49667
SC1,2024/12/23,36679
SC1,2024/12/24,40016
SC1,2024/12/25,40967
SC1,2024/12/26,42472
SC1,2024/12/27,43437
SC1,2024/12/28,42718
SC1,2024/12/29,41147
SC1,2024/12/30,40632
SC10,2024/12/1,47785
SC10,2024/12/2,38351
SC10,2024/12/3,39008
SC10,2024/12/4,39203
SC10,2024/12/5,39486
SC10,2024/12/6,39346
SC10,2024/12/7,38555
SC10,2024/12/8,37882
SC10,2024/12/9,37613
SC10,2024/12/10,37851
SC10,2024/12/11,47785
SC10,2024/12/12,38351
SC10,2024/12/13,39008
SC10,2024/12/14,39203
SC10,2024/12/15,39486
SC10,2024/12/16,39346
SC10,2024/12/17,38555
SC10,2024/12/18,37882
SC10,2024/12/19,37613
SC10,2024/12/20,37851
SC10,2024/12/21,47785
SC10,2024/12/22,47785
SC10,2024/12/23,39008
SC10,2024/12/24,39203
SC10,2024/12/25,39486
SC10,2024/12/26,39346
SC10,2024/12/27,38555
SC10,2024/12/28,37882
SC10,2024/12/29,37613
SC10,2024/12/30,37851
SC12,2024/12/1,9404
SC12,2024/12/2,3690
SC12,2024/12/3,3656
SC12,2024/12/4,3866
SC12,2024/12/5,3843
SC12,2024/12/6,3829
SC12,2024/12/7,3914
SC12,2024/12/8,3974
SC12,2024/12/9,3923
SC12,2024/12/10,3993
SC12,2024/12/11,9404
SC12,2024/12/12,3690
SC12,2024/12/13,3656
SC12,2024/12/14,3866
SC12,2024/12/15,3843
SC12,2024/12/16,3829
SC12,2024/12/17,3914
SC12,2024/12/18,3974
SC12,2024/12/19,3923
SC12,2024/12/20,3993
SC12,2024/12/21,9404
SC12,2024/12/22,9404
SC12,2024/12/23,3656
SC12,2024/12/24,3866
SC12,2024/12/25,3843
SC12,2024/12/26,3829
SC12,2024/12/27,3914
SC12,2024/12/28,3974
SC12,2024/12/29,3923
SC12,2024/12/30,3993
SC14,2024/12/1,1532
SC14,2024/12/2,1422
SC14,2024/12/3,1462
SC14,2024/12/4,1417
SC14,2024/12/5,1442
SC14,2024/12/6,1482
SC14,2024/12/7,1447
SC14,2024/12/8,1496
SC14,2024/12/9,1542
SC14,2024/12/10,1555
SC14,2024/12/11,1532
SC14,2024/12/12,1422
SC14,2024/12/13,1462
SC14,2024/12/14,1417
SC14,2024/12/15,1442
SC14,2024/12/16,1482
SC14,2024/12/17,1447
SC14,2024/12/18,1496
SC14,2024/12/19,1542
SC14,2024/12/20,1555
