日期,小时,分拣中心,货量
2023/12/1,1,SC1,3122 
2023/12/1,2,SC1,3114 
2023/12/1,3,SC1,3090 
2023/12/1,4,SC1,3060 
2023/12/1,5,SC1,2900 
2023/12/1,6,SC1,2223 
2023/12/1,7,SC1,391 
2023/12/1,8,SC1,1317 
2023/12/1,9,SC1,2041 
2023/12/1,10,SC1,1733 
2023/12/1,11,SC1,1569 
2023/12/1,12,SC1,1854 
2023/12/1,13,SC1,2413 
2023/12/1,14,SC1,2170 
2023/12/1,15,SC1,409 
2023/12/1,16,SC1,707 
2023/12/1,17,SC1,1099 
2023/12/1,18,SC1,1123 
2023/12/1,19,SC1,1267 
2023/12/1,20,SC1,1968 
2023/12/1,21,SC1,2723 
2023/12/1,22,SC1,2721 
2023/12/1,23,SC1,3013 
2023/12/1,24,SC1,3100 
2023/12/2,1,SC1,2438 
2023/12/2,2,SC1,2432 
2023/12/2,3,SC1,2414 
2023/12/2,4,SC1,2390 
2023/12/2,5,SC1,2265 
2023/12/2,6,SC1,1736 
2023/12/2,7,SC1,305 
2023/12/2,8,SC1,1028 
2023/12/2,9,SC1,1594 
2023/12/2,10,SC1,1354 
2023/12/2,11,SC1,1226 
2023/12/2,12,SC1,1448 
2023/12/2,13,SC1,1884 
2023/12/2,14,SC1,1694 
2023/12/2,15,SC1,320 
2023/12/2,16,SC1,552 
2023/12/2,17,SC1,859 
2023/12/2,18,SC1,877 
2023/12/2,19,SC1,990 
2023/12/2,20,SC1,1537 
2023/12/2,21,SC1,2126 
2023/12/2,22,SC1,2125 
2023/12/2,23,SC1,2353 
2023/12/2,24,SC1,2421 
2023/12/3,1,SC1,2297 
2023/12/3,2,SC1,2291 
2023/12/3,3,SC1,2273 
2023/12/3,4,SC1,2251 
2023/12/3,5,SC1,2133 
2023/12/3,6,SC1,1635 
2023/12/3,7,SC1,287 
2023/12/3,8,SC1,969 
2023/12/3,9,SC1,1501 
2023/12/3,10,SC1,1275 
2023/12/3,11,SC1,1154 
2023/12/3,12,SC1,1364 
2023/12/3,13,SC1,1775 
2023/12/3,14,SC1,1596 
2023/12/3,15,SC1,301 
2023/12/3,16,SC1,520 
2023/12/3,17,SC1,809 
2023/12/3,18,SC1,826 
2023/12/3,19,SC1,932 
2023/12/3,20,SC1,1448 
2023/12/3,21,SC1,2003 
2023/12/3,22,SC1,2002 
2023/12/3,23,SC1,2216 
2023/12/3,24,SC1,2280 
2023/12/4,1,SC1,2509 
2023/12/4,2,SC1,2502 
2023/12/4,3,SC1,2483 
2023/12/4,4,SC1,2459 
2023/12/4,5,SC1,2330 
2023/12/4,6,SC1,1786 
2023/12/4,7,SC1,314 
2023/12/4,8,SC1,1058 
2023/12/4,9,SC1,1640 
2023/12/4,10,SC1,1393 
2023/12/4,11,SC1,1261 
2023/12/4,12,SC1,1490 
2023/12/4,13,SC1,1939 
2023/12/4,14,SC1,1743 
2023/12/4,15,SC1,329 
2023/12/4,16,SC1,568 
2023/12/4,17,SC1,883 
2023/12/4,18,SC1,902 
2023/12/4,19,SC1,1018 
2023/12/4,20,SC1,1581 
2023/12/4,21,SC1,2188 
2023/12/4,22,SC1,2187 
2023/12/4,23,SC1,2421 
2023/12/4,24,SC1,2491 
2023/12/5,1,SC1,2569 
2023/12/5,2,SC1,2563 
2023/12/5,3,SC1,2543 
2023/12/5,4,SC1,2518 
2023/12/5,5,SC1,2386 
2023/12/5,6,SC1,1829 
2023/12/5,7,SC1,322 
2023/12/5,8,SC1,1084 
2023/12/5,9,SC1,1679 
2023/12/5,10,SC1,1426 
2023/12/5,11,SC1,1291 
2023/12/5,12,SC1,1526 
2023/12/5,13,SC1,1985 
2023/12/5,14,SC1,1785 
2023/12/5,15,SC1,337 
2023/12/5,16,SC1,582 
2023/12/5,17,SC1,905 
2023/12/5,18,SC1,924 
2023/12/5,19,SC1,1043 
2023/12/5,20,SC1,1619 
2023/12/5,21,SC1,2241 
2023/12/5,22,SC1,2240 
2023/12/5,23,SC1,2479 
2023/12/5,24,SC1,2551 
2023/12/6,1,SC1,2665 
2023/12/6,2,SC1,2658 
2023/12/6,3,SC1,2638 
2023/12/6,4,SC1,2612 
2023/12/6,5,SC1,2475 
2023/12/6,6,SC1,1897 
2023/12/6,7,SC1,333 
2023/12/6,8,SC1,1124 
2023/12/6,9,SC1,1742 
2023/12/6,10,SC1,1479 
2023/12/6,11,SC1,1339 
2023/12/6,12,SC1,1583 
2023/12/6,13,SC1,2059 
2023/12/6,14,SC1,1852 
2023/12/6,15,SC1,349 
2023/12/6,16,SC1,604 
2023/12/6,17,SC1,938 
2023/12/6,18,SC1,958 
2023/12/6,19,SC1,1082 
2023/12/6,20,SC1,1680 
2023/12/6,21,SC1,2324 
2023/12/6,22,SC1,2323 
2023/12/6,23,SC1,2572 
2023/12/6,24,SC1,2646 
2023/12/7,1,SC1,2726 
2023/12/7,2,SC1,2719 
2023/12/7,3,SC1,2698 
2023/12/7,4,SC1,2672 
2023/12/7,5,SC1,2532 
2023/12/7,6,SC1,1941 
2023/12/7,7,SC1,341 
2023/12/7,8,SC1,1150 
2023/12/7,9,SC1,1782 
2023/12/7,10,SC1,1514 
2023/12/7,11,SC1,1370 
2023/12/7,12,SC1,1619 
2023/12/7,13,SC1,2107 
2023/12/7,14,SC1,1894 
2023/12/7,15,SC1,357 
2023/12/7,16,SC1,618 
2023/12/7,17,SC1,960 
2023/12/7,18,SC1,980 
2023/12/7,19,SC1,1107 
2023/12/7,20,SC1,1718 
2023/12/7,21,SC1,2377 
2023/12/7,22,SC1,2376 
2023/12/7,23,SC1,2631 
2023/12/7,24,SC1,2707 
2023/12/8,1,SC1,2680 
2023/12/8,2,SC1,2674 
2023/12/8,3,SC1,2653 
2023/12/8,4,SC1,2627 
2023/12/8,5,SC1,2490 
2023/12/8,6,SC1,1909 
2023/12/8,7,SC1,335 
2023/12/8,8,SC1,1131 
2023/12/8,9,SC1,1752 
2023/12/8,10,SC1,1488 
2023/12/8,11,SC1,1347 
2023/12/8,12,SC1,1592 
2023/12/8,13,SC1,2071 
2023/12/8,14,SC1,1863 
2023/12/8,15,SC1,351 
2023/12/8,16,SC1,607 
2023/12/8,17,SC1,944 
2023/12/8,18,SC1,964 
2023/12/8,19,SC1,1088 
2023/12/8,20,SC1,1690 
2023/12/8,21,SC1,2338 
